site_id,sample_id,site_code,day,month,year,date,latitude,longitude,waterbody_name,waterbody_type,state,EQR,EQC
LTL381,LTL381_25.4.2018,LTL381_2018,25,4,2018,25/4/2018,55.07964253,26.04247096,,lake,,0.72,Good
LTL382,LTL382_16.5.2017,LTL382_2017,16,5,2017,16/5/2017,55.72103978,25.00533608,,lake,,0.74,High
LTL382,LTL382_11.5.2022,LTL382_2022,11,5,2022,11/5/2022,55.72103978,25.00533608,,lake,,0.61,Good
LTL383,LTL383_11.5.2022,LTL383_2022,11,5,2022,11/5/2022,55.6850804,24.95634074,,lake,,0.52,Good
LTL385,LTL385_9.5.2017,LTL385_2017,9,5,2017,9/5/2017,56.05990421,25.36252203,,lake,,0.84,High
LTL385,LTL385_24.5.2022,LTL385_2022,24,5,2022,24/5/2022,56.05990421,25.36252203,,lake,,0.65,Good
LTL386,LTL386_6.5.2015,LTL386_2015,6,5,2015,6/5/2015,55.21881572,26.33790921,,lake,,0.92,High
LTL386,LTL386_12.5.2021,LTL386_2021,12,5,2021,12/5/2021,55.21881572,26.33790921,,lake,,0.65,Good
LTL387,LTL387_20.5.2015,LTL387_2015,20,5,2015,20/5/2015,55.29682105,26.52537855,,lake,,0.49,Moderate
LTL387,LTL387_12.5.2021,LTL387_2021,12,5,2021,12/5/2021,55.29682105,26.52537855,,lake,,0.45,Moderate
LTL388,LTL388_20.5.2015,LTL388_2015,20,5,2015,20/5/2015,55.2798389,26.66954098,,lake,,0.64,Good
LTL389,LTL389_11.5.2016,LTL389_2016,11,5,2016,11/5/2016,55.19938148,26.63678841,,lake,,0.93,High
LTL389,LTL389_16.5.2023,LTL389_2023,16,5,2023,16/5/2023,55.19938148,26.63678841,,lake,,0.41,Moderate
LTL39,LTL39_28.4.2014,LTL39_2014,28,4,2014,28/4/2014,55.61361451,26.29796133,,lake,,0.72,Good
LTL39,LTL39_27.4.2015,LTL39_2015,27,4,2015,27/4/2015,55.61361451,26.29796133,,lake,,0.81,High
LTL39,LTL39_3.5.2016,LTL39_2016,3,5,2016,3/5/2016,55.61361451,26.29796133,,lake,,0.55,Good
LTL39,LTL39_24.4.2019,LTL39_2019,24,4,2019,24/4/2019,55.61361451,26.29796133,,lake,,0.61,Good
LTL390,LTL390_27.5.2014,LTL390_2014,27,5,2014,27/5/2014,54.13956906,23.57420939,,lake,,0.53,Good
LTL390,LTL390_4.5.2022,LTL390_2022,4,5,2022,4/5/2022,54.13956906,23.57420939,,lake,,0.52,Good
